access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,6.6993904114e-01,6.6992807388e-01,7.0167578113e+09,7.0168726812e+09
read,1,6.6993999481e-01,6.6992998123e-01,7.0167478228e+09,7.0168527036e+09
